timestamp;tag;duration;nvidia_gpu_0
1725602686.0522513;load_csv;1.2989778518676758;9330
1725602717.3653135;save_csv;0.5300564765930176;3786
1725602747.9077718;load_json;0.602055549621582;6325
1725602778.5158799;save_json;0.254349946975708;4583
1725602808.779263;load_hdf;2.886608362197876;19046
1725602841.7105014;save_hdf;0.2632904052734375;2009
1725602871.9794383;replace_nan;0.0010981559753417969;0
1725602901.9904501;calculate_sum;0.0010678768157958984;0
1725602932.0073912;calculate_mean;0.0010073184967041016;0
1725602962.0114782;calculate_min;0.001009225845336914;0
1725602992.018624;calculate_max;0.002071380615234375;0
1725603022.0238414;load_csv;1.4475162029266357;7137
1725603053.4898536;save_csv;0.6412768363952637;10693
1725603084.1317954;load_json;0.5109939575195312;2930
1725603114.6615522;save_json;0.2539255619049072;2856
1725603144.9267442;load_hdf;0.0629727840423584;387
1725603175.0300415;save_hdf;0.11600804328918457;668
1725603205.152198;replace_nan;0.0010104179382324219;0
1725603235.1565535;calculate_sum;0.0020742416381835938;0
1725603265.1729248;calculate_mean;0.0010783672332763672;0
1725603295.1783755;calculate_min;0.0010251998901367188;0
1725603325.1899345;calculate_max;0.0010235309600830078;0
1725603355.201285;load_csv;1.585064172744751;10707
1725603386.7985706;save_csv;0.5947287082672119;4090
1725603417.407025;load_json;0.8206307888031006;4104
1725603448.2363274;save_json;0.24001693725585938;1922
1725603478.4927;load_hdf;0.11922049522399902;347
1725603508.6440856;save_hdf;0.06499552726745605;0
1725603538.7154152;replace_nan;0.002044200897216797;0
1725603568.7233028;calculate_sum;0.0009865760803222656;0
1725603598.730484;calculate_mean;0.0010006427764892578;0
1725603628.7447586;calculate_min;0.0010035037994384766;0
1725603658.7524743;calculate_max;0.0010476112365722656;0
1725603688.7598743;load_csv;0.7675578594207764;6438
1725603719.5383983;save_csv;0.28472137451171875;2208
1725603749.8280628;load_json;0.2559669017791748;1106
1725603780.090848;save_json;0.1330723762512207;551
1725603810.2388854;load_hdf;0.1037905216217041;437
1725603840.3633056;save_hdf;0.039716243743896484;116
1725603870.4042554;replace_nan;0.0010042190551757812;0
1725603900.4159884;calculate_sum;0.0010709762573242188;0
1725603930.4266245;calculate_mean;0.0010771751403808594;0
1725603960.4402583;calculate_min;0.0010120868682861328;0
1725603990.4497159;calculate_max;0.0010251998901367188;0
1725604020.4557424;load_csv;0.7862114906311035;3786
1725604051.2504272;save_csv;0.3092458248138428;1258
1725604081.5636992;load_json;0.45562028884887695;1937
1725604112.026821;save_json;0.09806466102600098;371
1725604142.1329079;load_hdf;0.037252187728881836;141
1725604172.185255;save_hdf;0.027531147003173828;0
1725604202.2170885;replace_nan;0.0010688304901123047;0
1725604232.2306561;calculate_sum;0.0010919570922851562;0
1725604262.2387886;calculate_mean;0.0010826587677001953;0
1725604292.243184;calculate_min;0.0009794235229492188;0
1725609538.6585684;calculate_max;0.0010600090026855469;0
1725609568.6741173;load_csv;1.2742822170257568;8279
1725609599.9529705;save_csv;0.741645336151123;5185
1725609630.6980772;load_json;0.5802183151245117;4380
1725609661.2895749;save_json;0.2684338092803955;1716
1725609691.560828;load_hdf;0.153350830078125;1196
1725609721.7467096;save_hdf;0.1298081874847412;652
1725609751.8857396;replace_nan;0.0020008087158203125;0
1725609781.8921354;calculate_sum;0.0010004043579101562;0
1725609811.9130065;calculate_mean;0.0010402202606201172;0
1725609841.917426;calculate_min;0.0019769668579101562;0
1725609871.93741;calculate_max;0.002996683120727539;0
1725609901.9515202;load_csv;1.634547472000122;15392
1725609933.60239;save_csv;0.6429812908172607;3527
1725609964.2578547;load_json;0.6957566738128662;3467
1725609994.9646642;save_json;0.22800850868225098;967
1725610025.1987703;load_hdf;0.14409470558166504;277
1725610055.3854158;save_hdf;0.04419660568237305;265
1725610085.4321582;replace_nan;0.0009999275207519531;0
1725610115.4408174;calculate_sum;0.002080202102661133;0
1725610145.4570608;calculate_mean;0.0;0
1725610175.4687855;calculate_min;0.0010974407196044922;0
1725610205.4763553;calculate_max;0.008025169372558594;682
1725610235.4924154;load_csv;1.4623010158538818;21016
1725610266.963924;save_csv;0.5490193367004395;3464
1725610297.5189416;load_json;0.6206841468811035;4119
1725610328.1508825;save_json;0.21306896209716797;1109
1725610358.3715556;load_hdf;0.1365797519683838;723
1725610388.5366917;save_hdf;0.1139671802520752;450
1725610418.6587412;replace_nan;0.0010228157043457031;0
1725610448.6626098;calculate_sum;0.0009865760803222656;0
1725610478.6776166;calculate_mean;0.0009868144989013672;0
1725610508.6858368;calculate_min;0.004980325698852539;0
1725610538.7070153;calculate_max;0.0010104179382324219;0
1725610568.7105064;load_csv;1.5476741790771484;7853
1725610600.2715728;save_csv;0.6250240802764893;4313
1725610630.9115484;load_json;0.6037390232086182;4344
1725610661.5306308;save_json;0.2480931282043457;1673
1725610691.7813394;load_hdf;0.15657997131347656;669
1725610721.9563084;save_hdf;0.07901501655578613;1560
1725610752.0493147;replace_nan;0.0009894371032714844;0
1725610782.0576718;calculate_sum;0.0010693073272705078;0
1725610812.0700774;calculate_mean;0.00107574462890625;0
1725610842.0817082;calculate_min;0.0050165653228759766;0
1725610872.0993652;calculate_max;0.0009889602661132812;0
1725610902.1045592;load_csv;1.904737949371338;13239
1725610934.0325177;save_csv;0.8899624347686768;8110
1725610964.9341457;load_json;0.7793436050415039;12353
1725610995.7296717;save_json;0.2030940055847168;823
1725611025.9469788;load_hdf;0.2214646339416504;1186
1725611056.1989248;save_hdf;0.1031954288482666;552
1725611086.305528;replace_nan;0.002072572708129883;0
